No. De pregunta,TIPO DE PREGUNTA,PREGUNTA,OPCIÓN A,OPCIÓN B,OPCIÓN C,OPCIÓN D,OPCIÓN E (OPCIONAL),RESPUESTA CORRECTA,,,,,Modulo/Capitulo (Tags),RELEVANTE,CALIDAD,CLASIFICADA CORRECTAMENTE,RESPUESTA CORRECTA VÁLIDA,FRAGMENTO,BLOOM,DISC,DIFICULTAD,AZAR ,NIVEL DEL CURSO
1,Multiple Choice,"¿Qué etiqueta semántica de HTML5 es la más adecuada para agrupar el contenido principal de una página web excluyendo encabezados, menús y pies de página?",<section>,<main>,<article>,<div>,,B,,,,,1.2 Estructura y Semántica,Sí,5,Sí,Sí,La etiqueta <main> representa el contenido dominante y único de la página.,Comprender,1.50,1.20,0.2,Beginner
2,Multiple Choice,"Al definir la estructura de un formulario, ¿qué atributo de la etiqueta <input> se utiliza para mostrar un texto temporal de ayuda antes de que el usuario escriba?",required,value,placeholder,title,,C,,,,,1.5 Formularios,Sí,5,Sí,Sí,El atributo placeholder muestra un texto gris de ejemplo dentro del input.,Recordar,1.50,1.20,0.2,Beginner
3,Multiple Choice,"Si necesitas insertar una imagen en tu documento HTML y asegurarte de que sea accesible para lectores de pantalla, ¿qué atributo es estrictamente necesario incluir?",src,alt,title,href,,B,,,,,1.4 Enlaces e Imágenes,Sí,5,Sí,Sí,El atributo 'alt' provee texto alternativo esencial para accesibilidad.,Aplicar,1.50,1.20,0.2,Beginner
4,Multiple Choice,"Dentro del formato de texto en HTML, ¿cuál es la diferencia semántica principal entre las etiquetas <strong> y <b>?",<strong> aplica negrita visualmente y <b> indica importancia semántica grave.,"<strong> indica importancia o urgencia semántica, mientras que <b> solo aplica negrita visual.",Ambas tienen exactamente el mismo propósito semántico y visual en HTML5.,<strong> se usa para bloques de texto grandes y <b> para palabras individuales.,,B,,,,,1.3 Texto y Formato,Sí,5,Sí,Sí,"En HTML5, strong es semántico (importancia) y b es puramente presentacional.",Analizar,1.50,1.20,0.2,Beginner
5,Multiple Choice,¿Cuál es la sintaxis correcta para declarar un comentario en un documento HTML5?,// Este es un comentario,/* Este es un comentario */,<!-- Este es un comentario -->,<comment> Este es un comentario </comment>,,C,,,,,1.1 Introducción a HTML5,Sí,5,Sí,Sí,Los comentarios en HTML inician con <!-- y terminan con -->.,Recordar,1.50,1.20,0.2,Beginner
6,Multiple Choice,¿Qué tipo de input en un formulario HTML5 es el adecuado si deseas que el usuario seleccione una única opción excluyente de una lista visible en pantalla?,"<input type=""checkbox"">","<input type=""select"">","<input type=""radio"">","<input type=""button"">",,C,,,,,1.5 Formularios,Sí,5,Sí,Sí,El tipo 'radio' permite selección excluyente dentro de un grupo con el mismo 'name'.,Aplicar,1.50,1.20,0.2,Beginner
7,Multiple Choice,"Al utilizar enlaces (<a>) en HTML, ¿cómo se define una ruta absoluta para dirigir al usuario a un sitio externo?","href=""/pages/contacto.html""","href=""contacto.html""","href=""https://www.google.com""","src=""https://www.google.com""",,C,,,,,1.4 Enlaces e Imágenes,Sí,5,Sí,Sí,Rutas absolutas incluyen el protocolo completo (https://).,Comprender,1.50,1.20,0.2,Beginner
8,Multiple Choice,"¿Qué par de etiquetas se utiliza correctamente para definir una lista ordenada donde los elementos aparecen numerados (1, 2, 3...)?",<ul> y <li>,<ol> y <li>,<dl> y <dt>,<list> y <item>,,B,,,,,1.3 Texto y Formato,Sí,5,Sí,Sí,<ol> (ordered list) genera listas numeradas y <ul> listas con viñetas.,Recordar,1.50,1.20,0.2,Beginner
9,Multiple Choice,"¿Cuál de los siguientes selectores CSS aplica estilos únicamente a un elemento HTML que posea el atributo id=""principal""?",.principal { color: red; },principal { color: red; },#principal { color: red; },*principal { color: red; },,C,,,,,2.3 Selectores,Sí,5,Sí,Sí,El símbolo # se utiliza en CSS para referenciar un ID.,Aplicar,1.50,1.20,0.2,Beginner
10,Multiple Choice,"En el modelo de caja (Box Model) de CSS, ¿cuál es el orden correcto de las capas desde el contenido hacia el exterior del elemento?","Contenido, Padding, Borde, Margen","Contenido, Margen, Padding, Borde","Contenido, Borde, Padding, Margen","Contenido, Borde, Margen, Padding",,A,,,,,2.5 Layout básico,Sí,5,Sí,Sí,Box model: Contenido interno -> Padding (relleno) -> Border -> Margin (espacio exterior).,Recordar,1.50,1.20,0.2,Beginner
